Id,ClusterId,Lat,Lng,Tags
31,74,54.24014,18.74961,"{""addr:city"": ""Grabiny-Zameczek"", ""addr:housenumber"": ""11"", ""addr:postcode"": ""83-022"", ""addr:street"": ""Ja\u015bminowa"", ""source:addr"": ""suchydab.e-mapa.net""}"
32,75,54.241054,18.757662,"{""power"": ""tower""}"
33,77,54.24201,18.77623,"{""addr:city"": ""Trutnowy"", ""addr:housenumber"": ""5"", ""addr:postcode"": ""83-020"", ""addr:street"": ""Zachodnia"", ""source:addr"": ""cedrywielkie.e-mapa.net""}"
34,78,54.24073,18.7821,"{""addr:city"": ""Trutnowy"", ""addr:housenumber"": ""38"", ""addr:postcode"": ""83-020"", ""addr:street"": ""Aleja 700-lecia"", ""source:addr"": ""cedrywielkie.e-mapa.net""}"
35,80,54.24024,18.79721,"{""addr:city"": ""Trutnowy"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""83-020"", ""addr:street"": ""Kasztela\u0144ska"", ""source:addr"": ""cedrywielkie.e-mapa.net""}"
36,81,54.2422,18.81058,"{""addr:city"": ""Trutnowy"", ""addr:housenumber"": ""7"", ""addr:postcode"": ""83-020"", ""addr:street"": ""Kasztanowa"", ""source:addr"": ""cedrywielkie.e-mapa.net""}"
37,82,54.2420359,18.8145568,"{""addr:postcode"": ""83-020"", ""is_in:county"": ""powiat gda\u0144ski"", ""is_in:municipality"": ""gmina Cedry Wielkie"", ""is_in:province"": ""wojew\u00f3dztwo pomorskie"", ""name"": ""Trutnowy"", ""name:de"": ""Trutenau"", ""place"": ""village"", ""population"": ""710"", ""source:population"": ""wikipedia"", ""teryt:rm"": ""01"", ""teryt:simc"": ""0159746"", ""teryt:stan_na"": ""2009-01-01"", ""teryt:updated_by"": ""teryt2osm combine.py v. 43"", ""wikidata"": ""Q2456723"", ""wikipedia"": ""pl:Trutnowy""}"
38,85,54.24288,18.83989,"{""addr:city"": ""Cedry Wielkie"", ""addr:city:simc"": ""0159640"", ""addr:housenumber"": ""7"", ""addr:postcode"": ""83-020"", ""addr:street"": ""Obro\u0144c\u00f3w Poczty Gda\u0144skiej"", ""addr:street:sym_ul"": ""14637"", ""source:addr"": ""cedrywielkie.e-mapa.net""}"
39,86,54.24209,18.84316,"{""addr:city"": ""Cedry Wielkie"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""83-020"", ""addr:street"": ""Juliana Tuwima"", ""source:addr"": ""cedrywielkie.e-mapa.net""}"
40,87,54.24281,18.85218,"{""addr:city"": ""Cedry Wielkie"", ""addr:housenumber"": ""16"", ""addr:postcode"": ""83-020"", ""addr:street"": ""Boles\u0142awa Prusa"", ""source:addr"": ""cedrywielkie.e-mapa.net""}"
41,89,54.2399758,18.8685476,"{""power"": ""tower"", ""ref"": ""267""}"
42,99,54.24031,18.9472,"{""created_by"": ""almien_coastlines""}"
43,100,54.2446852,18.1799752,"{""power"": ""tower""}"
44,102,54.2464586,18.1973772,"{""created_by"": ""JOSM""}"
45,103,54.2453695,18.198328,"{""created_by"": ""JOSM""}"
46,104,54.24534,18.20961,"{""addr:city:simc"": ""0172416"", ""addr:housenumber"": ""58"", ""addr:place"": ""Egiertowo"", ""addr:postcode"": ""83-312"", ""source:addr"": ""somonino.e-mapa.net""}"
47,107,54.2441556,18.2315667,"{""power"": ""tower""}"
48,108,54.2462907,18.237851,"{""power"": ""tower""}"
49,109,54.2474574,18.2485917,"{""material"": ""steel"", ""power"": ""tower"", ""structure"": ""lattice""}"
50,115,54.24476,18.2949,"{""addr:city"": ""Majdany"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""83-047"", ""addr:street"": ""Jagodowa"", ""source:addr"": ""przywidz.e-mapa.net""}"
51,121,54.2469472,18.3431975,"{""addr:postcode"": ""83-047"", ""is_in:county"": ""powiat gda\u0144ski"", ""is_in:municipality"": ""gmina Przywidz"", ""is_in:province"": ""wojew\u00f3dztwo pomorskie"", ""name"": ""Z\u0105brsko G\u00f3rne"", ""place"": ""village"", ""population"": ""103"", ""source:population"": ""wikipedia"", ""teryt:rm"": ""01"", ""teryt:simc"": ""0169992"", ""teryt:stan_na"": ""2009-01-01"", ""teryt:updated_by"": ""teryt2osm combine.py v. 43"", ""wikidata"": ""Q8076146"", ""wikipedia"": ""pl:Z\u0105brsko G\u00f3rne""}"
52,122,54.24673,18.34649,"{""addr:city"": ""Z\u0105brsko G\u00f3rne"", ""addr:housenumber"": ""19"", ""addr:postcode"": ""83-047"", ""addr:street"": ""Na Wzg\u00f3rze"", ""source:addr"": ""przywidz.e-mapa.net""}"
53,123,54.2451976,18.3584677,"{""name"": ""Rudzina"", ""name:genitive"": ""Rudziny"", ""place"": ""isolated_dwelling"", ""source"": ""PRNG"", ""teryt:simc"": ""1014398"", ""wikidata"": ""Q16598006"", ""wikipedia"": ""pl:Rudzina""}"
54,124,54.2454455,18.3644701,"{""addr:postcode"": ""83-047"", ""is_in:province"": ""wojew\u00f3dztwo pomorskie"", ""name"": ""Marszewska G\u00f3ra"", ""place"": ""village"", ""source"": ""http://ump.waw.pl/ retrieved 19:07:52 04/10/10 (UMP-Gdansk/src/cities-Gdansk.pnt-converted.txt)"", ""teryt:simc"": ""0169963"", ""wikidata"": ""Q2191395"", ""wikipedia"": ""pl:Marszewska G\u00f3ra""}"
55,126,54.246804,18.3830005,"{""addr:postcode"": ""83-047"", ""is_in:county"": ""powiat gda\u0144ski"", ""is_in:municipality"": ""gmina Przywidz"", ""is_in:province"": ""wojew\u00f3dztwo pomorskie"", ""name"": ""Jod\u0142owno"", ""place"": ""village"", ""population"": ""262"", ""source:population"": ""wikipedia"", ""teryt:rm"": ""01"", ""teryt:simc"": ""0169928"", ""teryt:stan_na"": ""2009-01-01"", ""teryt:updated_by"": ""teryt2osm combine.py v. 43"", ""wikidata"": ""Q957912"", ""wikipedia"": ""pl:Jod\u0142owno""}"
56,127,54.2460563,18.3871483,"{""man_made"": ""tower"", ""tower:type"": ""communication""}"
57,129,54.2448109,18.4013334,"{""name"": ""108"", ""power"": ""tower""}"
58,137,54.2440592,18.4671391,"{""power"": ""tower""}"
59,138,54.24649,18.47413,"{""addr:city"": ""Pr\u0119gowo"", ""addr:city:simc"": ""1066946"", ""addr:housenumber"": ""17"", ""addr:postcode"": ""83-050"", ""addr:street"": ""Polna"", ""addr:street:sym_ul"": ""17011"", ""source:addr"": ""kolbudy.e-mapa.net""}"
60,139,54.2475793,18.4791135,"{""highway"": ""turning_circle""}"
61,141,54.24516,18.49674,"{""addr:city"": ""Lisewiec"", ""addr:city:simc"": ""0163995"", ""addr:housenumber"": ""13"", ""addr:postcode"": ""83-050"", ""addr:street"": ""Pag\u00f3rkowa"", ""addr:street:sym_ul"": ""15548"", ""source:addr"": ""kolbudy.e-mapa.net""}"
62,142,54.24502,18.50375,"{""addr:city"": ""Lisewiec"", ""addr:city:simc"": ""0163995"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""83-050"", ""addr:street"": ""\u017bu\u0142awska"", ""addr:street:sym_ul"": ""26567"", ""source:addr"": ""kolbudy.e-mapa.net""}"
63,143,54.2446,18.50987,"{""addr:city"": ""Lisewiec"", ""addr:city:simc"": ""0163995"", ""addr:housenumber"": ""20"", ""addr:postcode"": ""83-050"", ""addr:street"": ""Rajska"", ""addr:street:sym_ul"": ""18403"", ""source:addr"": ""kolbudy.e-mapa.net""}"
64,148,54.24525,18.54772,"{""addr:city"": ""Rekcin"", ""addr:housenumber"": ""4"", ""addr:postcode"": ""83-010"", ""addr:street"": ""Czere\u015bniowa"", ""source:addr"": ""pruszczgdanski.e-mapa.net""}"
65,151,54.2449,18.57347,"{""addr:city"": ""Borz\u0119cin"", ""addr:housenumber"": ""10"", ""addr:postcode"": ""83-000"", ""addr:street"": ""\u017burawia"", ""source:addr"": ""pruszczgdanski.e-mapa.net""}"
66,155,54.2451365,18.609091,"{""distance"": ""0"", ""highway"": ""milestone"", ""name"": ""km 0.0"", ""ref"": ""A1""}"
67,156,54.2475312,18.6141028,"{""barrier"": ""gate""}"
68,157,54.24803,18.62087,"{""addr:city"": ""Pruszcz Gda\u0144ski"", ""addr:housenumber"": ""34"", ""addr:postcode"": ""83-000"", ""addr:street"": ""Zastawna"", ""name"": ""Impuls Przedsi\u0119biorstwo Innowacyjno - Wdro\u017ceniowe"", ""office"": ""company"", ""source:addr"": ""mpruszczgdanski.e-mapa.net""}"
69,158,54.2469077,18.6321667,"{""railway"": ""level_crossing""}"
70,159,54.24584,18.63457,"{""addr:city"": ""Pruszcz Gda\u0144ski"", ""addr:housenumber"": ""103C"", ""addr:postcode"": ""83-000"", ""addr:street"": ""Grunwaldzka"", ""source:addr"": ""mpruszczgdanski.e-mapa.net""}"
71,160,54.2472143,18.6468056,"{""barrier"": ""block""}"
